"%s was added to your shopping cart.","%s ditambahkan pada cart Anda."
"%s was updated in your shopping cart.","%s diperbarui pada cart Anda."
"(Excl. Tax)","(Diluar Tax)"
"(Incl. Tax)","(Termasuk Tax)"
"* Required Fields","* Dibutuhkan bidang"
"Add New Address","Tambahkan alamat baru"
"Add New Condition","Tambahkan kondisi baru"
"Add coupon code for shopping cart","Tambahakan kode kupon untuk cart"
"Add gift messages to shopping cart","Tambahkan pesan hadiah untuk cart"
"Add product to shopping cart","Tambahkan produk ke cart"
"Add product(s) to shopping cart","Tambahkan produk ke cart"
"Add to Cart","Tambahkan ke keranjang"
"Add to Compare","Tambahkan ke perbandingan"
"Add to Wishlist","Tambahkan ke daftar yang diinginkan"
"Additional Product Info","Info produk tambahan"
"Address","Alamat"
"Address %s of %s","Alamat %s dari%s"
"After Adding a Product Redirect to Shopping Cart","Setelah menambahkan sebuah produk akan langsung dihubungkan pada keranjang belanja"
"Allow Guest Checkout","Ijinkan Checkout tamu"
"Already registered?","Sudah terdaftar?"
"An error occurred in the process of payment","error terjadi pada saat proses pembayaran"
"An error occurred while deleting this condition.","Error terjadi ketika menghapus kondisi ini."
"An error occurred while saving this condition.","Error terjadi ketika menyimpan kondisi ini."
"Apply","Terapkan"
"Apply Coupon","Berlaku Kupon"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Are you sure you want to leave this page? You will need to go through the checkout steps again."
"Are you sure you would like to remove this item from the shopping cart?","Apakah Anda yakin ingin menghapus item ini dari keranjang belanja?"
"Back","Kembali"
"Back to Billing Information","Kembali ke informasi tagihan"
"Back to Select Addresses","Kembali untuk memilih alamat"
"Back to Shipping Information","Kembali ke informasi pengiriman"
"Back to Shopping Cart","Kembali kekernjang belanja"
"Based on your selection, you may be interested in the following items:","Berdasarkan pilihan Anda, Anda mungkin tertarik pada item dibawah ini:"
"Billing Address","Alamat tagihan"
"Billing Information","Informasi tagihan"
"Billing Information - %s","Informasi tagihan - %s"
"Can not remove the item.","Can not remove the item."
"Can not save item.","Can not save item."
"Cancel","Batal"
"Cancel Coupon","Kupon pembatalan"
"Cannot add item to the shopping cart.","Tidak dapat menambahkan item ke keranjang belanja"
"Cannot add the item to shopping cart","Tidak dapat menambahkan item ke keranjang belanja"
"Cannot add the item to shopping cart.","Tidak dapat menambahkan item ke keranjang belanja"
"Cannot apply the coupon code.","Tidak dapat menerapkan kode kupon."
"Cannot configure product.","Tidak dapat mengkonfigurasi produk"
"Cannot open the overview page","Tidak dapat membuka halaman ikhtisar"
"Cannot process the item.","Tidak dapat memproses barang"
"Cannot remove the item.","Tidak dapat menghapus barang"
"Cannot update shopping cart.","Tidak dapat memperbarui keranjang belanja"
"Cannot update the item.","Tidak dapat memperbarui barang"
"Card Verification Number Visual Reference","Kartu Verifikasi Visual Nomor Referensi"
"Cart","Keranjang"
"Cart Product API","Keranjang produk API"
"Cart Subtotal:","Keranjang Subtotal:"
"Change","Perubahan"
"Change Billing Address","Ubah Alamat Tagihan"
"Checkbox Text","Checkbox Text"
"Checkout","Checkout"
"Checkout Conditions","Kondisi Checkout"
"Checkout Forms Extra","Checkout Forms Extra"
"Checkout Method","Checkout Method"
"Checkout Options","Pilihan Checkout"
"Checkout Progress Wrapper","Checkout Kemajuan Wrapper"
"Checkout Section","Bagian Checkout"
"Checkout Terms and Conditions","Checkout Syarat dan Kondisi"
"Checkout as Guest","Checkout sebagai tamu"
"Checkout as a Guest or Register","Checkout sebagai tamu atau daftar"
"Checkout with Multiple Addresses","Checkout dengan Multi alamat"
"City","Kota"
"Clear Shopping Cart","Clear Shopping Keranjang"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" onklik=""ini.target=\'_blank\'"">disini untuk print</a> sebuah salinan pada konfirmasi order Anda"
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">disni</a> Untuk melanjutkan belanja."
"Close","Tutup"
"Company","Perusahaan"
"Condition Name","Kondisi Nama"
"Configurable Product Image","Gambar Produk yang dapat dikonfigurasi"
"Configure Cart Item","Konfigurasi keranjang barang"
"Confirm Password","Konfirmasi kata sandi"
"Content","Isi"
"Content Height","Isi tinggi"
"Content Height (css)","Isi tinggi (css)"
"Continue","Lanjutkan"
"Continue Shopping","Lanjutkan Belanja"
"Continue to Billing Information","Lanjutkan ke informasi tagihan"
"Continue to Review Your Order","Lanjutkan ke tinjauan pesanan Anda"
"Continue to Shipping Information","Lanjutkan ke informasi pengiriman"
"Country","Negara"
"Coupon code ""%s"" is not valid.","Kode kupon ""%s"" tidak berlaku."
"Coupon code ""%s"" was applied.","Kode kupon ""%s"" diterapkan."
"Coupon code was canceled.","Kode kupon dibatalkan."
"Create Billing Address","Membuat alamat tagihan"
"Create Shipping Address","Membuat alamat pengiriman"
"Create an order from shopping cart","Membuat sebuah pesanan dari keranjang belanja"
"Create shopping cart","Membuat keranjang belanja"
"Customer Address is not valid.","Customer Address tidak berlaku."
"Customer Information","Informasi Pelanggan"
"Customer's information","Informasi Pelanggan"
"Data saving problem","Masalah penyimpanan data"
"Default Billing","Standar tagihan"
"Default Shipping","Standar pengiriman"
"Delete Condition","Hapus kondisi"
"Details","Detil"
"Disabled","Menonaktifkan"
"Discount Codes","Kode diskon"
"Display Cart Summary","Menampilkan ringkasan keranjang"
"Display Shopping Cart Sidebar","Tampilan Belanja Bar Samping"
"Display item quantities","Kuantitas tampilan barang"
"Display number of items in cart","Jumlah tampilan dari barang dikeranjang"
"Display number of items in wishlist","Jumlah tampilan dari barang pada daftar yang diinginkan"
"Easy access to your order history and status","Akses mudah ke riwayat pesanan Anda dan status"
"Edit","Sunting"
"Edit Address","Sunting Alamat"
"Edit Billing Address","Sunting Alamat tagihan"
"Edit Condition","Sunting Kondisi"
"Edit Items","Sunting barang"
"Edit Shipping Address","Sunting alamat pengiriman"
"Edit Terms and Conditions","Sunting Syarat dan Kondisi"
"Edit Your Cart","Sunting Keranjang Anda"
"Edit item","Sunting barang"
"Edit item parameters","Sunting parameter barang"
"Email Address","Alamat email"
"Empty Cart","Kosong Keranjang"
"Empty Shopping Cart Content Before","Empty Shopping Cart Content Before"
"Enable Form Key Validation On Checkout","Enable Form Key Validation On Checkout"
"Enable Onepage Checkout","Aktifkan Checkout Satu Halaman"
"Enable Terms and Conditions","Aktifkan Syarat dan kondisi"
"Enabled","Aktifkan"
"Enter a New Address","Masukan alamat baru"
"Enter your coupon code if you have one.","Masukan kode kupon jika Anda memilikinya"
"Enter your destination to get a shipping estimate.","Masukan tujuan Anda untuk mendapatkan perkiraan pengiriman"
"Estimate","Estimate"
"Estimate Shipping and Tax","Estimasi Pengiriman dan Pajak"
"Excl. Tax","Belum termasuk pajak"
"Fast and easy check out","Cepat dan mudah memeriksa"
"Fax","Fax"
"Forgot an Item?","Lupa sebuah barang?"
"Forgot your password?","Lupa Kata sandi Anda?"
"Get a Quote","Info Harga"
"Get list of available payment methods","Mendapatkan daftar metode pembayaran yang tersedia"
"Get list of available shipping methods","Dapatkan daftar metode pengiriman yang tersedia"
"Get list of products in shopping cart","Dapatkan daftar produk di keranjang belanja"
"Get terms and conditions","Dapatkan Syarat dan kondisi"
"Get total prices for shopping cart","Dapatkan harga total untuk keranjang belanja"
"Gift Message","Pesan Hadiah"
"Grand Total:","Jumlah Total:"
"Grouped Product Image","Kelompokan Gambar produk"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Termasuk Pajak"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Invalid data."
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid method: %s","Metode tidak Valid: %s"
"Invalid shipping method.","Invalid shipping method."
"Item not found or already ordered","Item tidak ditemukan atau sudah dipesan"
"Item was removed successfully.","Item was removed successfully."
"Item was updated successfully.","Item was updated successfully."
"Items","Barang"
"Items After","Barang setelah"
"Items Before","Barang sebelum"
"Load customer quote error","Memuat Penawaran pelanggan  error"
"Loading next step...","Memuat langkah berikutnya..."
"Login","Masuk"
"Login/Registration Before","Masuk/Sebelum Registrasi"
"Manage Checkout Terms and Conditions","Kelola Checkout Syarat dan kondisi"
"Manage Terms and Conditions","Manage Terms and Conditions"
"Maximum Display Recently Added Item(s)","Tampilan maksimum sekarang Item ditambahkan"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimum kuantitas diperbolehkan untuk Pengiriman ke beberapa alamat adalah %s"
"Mini-cart promotion block","Mini-cart promotion block"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Pindah"
"Move to Wishlist","Pindahkan kedaftar yang di inginkan"
"Move to wishlist","Pindahkan kedaftar yang di inginkan"
"Multishipping Checkout","Checkout multi pengiriman"
"Multishipping Checkout Address (Any) Form","Form Checkout Multi pengiriman Alamat (Setiap)"
"Multishipping Checkout Billing Address Creation","Membuat alamat tagihan Checkout multi pengiriman"
"Multishipping Checkout Billing Address Edit Form","Formulir sunting alamat tagihan Checkout multi pengiriman"
"Multishipping Checkout Billing Address Selection","Pemilihan alamat tagihan checkout multi pengiriman"
"Multishipping Checkout Billing Information Step","Langkah informasi tagihan checkout multi pengiriman"
"Multishipping Checkout Customer Address Edit Form","Formulir sunting alamat pelanggan checkout multi pengiriman"
"Multishipping Checkout Overview","Ikhtisar checkout multi pengiriman"
"Multishipping Checkout Shipping Address Creation","Membuat alamat pengiriman checkout multi pengiriman"
"Multishipping Checkout Shipping Address Edit Form","Formulir sunting alamat pengiriman checkout multi pengiriman"
"Multishipping Checkout Shipping Address Selection","Pilihan alamat pengiriman checkout multi pengiriman"
"Multishipping Checkout Shipping Information Step","Langkah informasi pengiriman  checkout  multi pengiriman"
"Multishipping Checkout Success","Checkout multi pengiriman sukses"
"My Cart","Keranjang"
"My Cart (%s item)","Keranjang (%s Barang)"
"My Cart (%s items)","Keranjang (%s Barang barang)"
"My Cart Extra Actions","Keranjang Extra Actions"
"My Cart Link","Tautan Keranjang"
"New Address","Alamat baru"
"New Condition","Kondisi Baru"
"New Terms and Conditions","New Terms and Conditions"
"No Payment Methods","No Payment Methods"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","JUMLAH PESANAN AKAN DITAMPILKAN SEBELUM ANDA KIRIM PESANAN"
"One Page Checkout","checkout satu halaman"
"One Page Checkout Failure","Checkout satu halaman gagal"
"One Page Checkout Overview","Ikhtisar Checkout satu halaman"
"One Page Checkout Success","Checkout satu halaman sukses"
"One item of products do not have identifier or sku","Satu item produk tidak memiliki pengenal atau sku"
"One item of products is not belong any of quote item","Satu item produk bukan milik setiap item Penawaran"
"Order #","Pesanan #"
"Order Review","Tinjauan pesanan"
"Order Success","Pesanan sukses"
"Order place error.","Penempatan pesanan error"
"Other Items in Your Order","Barang lain pada pesanan Anda"
"Overview Items After","Tinjauan barang setelah"
"Password","Kata sandi"
"Payment Failed Email Reciever","Penerima Email Pembayaran Gagal"
"Payment Failed Email Sender","Pengirim Email Pembayaran Gagal"
"Payment Failed Emails","Email pembayaran gagal"
"Payment Failed Template","template pembayaran gagal"
"Payment Information","Informasi pembayaran"
"Payment Method","Metode pembayaran"
"Payment Methods After","Metode pembayaran setelah"
"Payment Methods After Checkout Button","Metode pembayaran setelah tombol checkout"
"Payment Methods Before","Metode pembayaran sebelum"
"Payment Methods Before Checkout Button","Metode pembayaran sebelum tombol checkout"
"Payment method information","Informasi metode pembayaran"
"Payment method is not defined","Metode pembayaran tidak ditentukan"
"Payment methods in shopping cart","Metode Pembayaran di keranjang belanja"
"Payment profile # %s: ""%s"".","Profil pembayaran # %s: ""%s""."
"Place Order","Penempatan pesanan"
"Please agree to all Terms and Conditions before placing the order.","Silahkan menyetujui semua Syarat dan Ketentuan sebelum menempatkan pesanan."
"Please agree to all Terms and Conditions before placing the orders.","Silahkan menyetujui semua Syarat dan Ketentuan sebelum menempatkan perintah."
"Please agree to all the terms and conditions before placing the order.","Silahkan setuju dengan semua syarat dan ketentuan sebelum penempatan order."
"Please check billing address information.","Silahkan check billing address information."
"Please check shipping address information.","Silahkan check shipping address information."
"Please check shipping addresses information.","Silahkan check shipping addresses information."
"Please choose to register or to checkout as a guest","Silahkan choose to register or to checkout as a guest"
"Please log in below:","Silakan login di bawah ini:"
"Please select region, state or province","Silakan pilih region, Negara bagian atau provisi"
"Please select shipping address for applicable items","Silakan pilih alamat pengiriman untuk barang-barang yang berlaku"
"Please select shipping methods for all addresses","Silahkan pilih metode pengiriman untuk semua alamat"
"Please select valid payment method.","Silahkan select valid payment method."
"Please specify payment method.","Silahkan specify payment method."
"Please specify shipping method.","Silahkan specify shipping method."
"Please specify shipping methods for all addresses.","Silahkan specify shipping methods for all addresses."
"Price","Harga"
"Proceed to Checkout","Lanjutkan ke checkout"
"Product","Produk"
"Product Name","Nama Produk"
"Products","Produk"
"Qty","Kuantitas"
"Qty:","Kuantitas:"
"Quantity","Kuantitas"
"Quantity was recalculated from %d to %d","Jumlah itu dihitung ulang dari %d ke %d"
"Quote Lifetime (days)","Penawaran Seumur Hidup (hari)"
"Quote item does not exist.","barang Penawaran tidak ada."
"Quote item is not found.","Barang Penawaran tidak ditemukan."
"Recently added item(s)","Baru saja ditambahkan item (s)"
"Register","Daftar"
"Register and save time!","Daftar dan simpan waktu!"
"Register to Create an Account","Daftar untuk membuat akun"
"Register with us for future convenience:","Daftar dengan kami untuk kenyamanan masa depan:"
"Remove Item","Hapus Barang"
"Remove This Item","Hapus barang ini"
"Remove coupon code from shopping cart","Hapus kode kupon dari keranjang belanja"
"Remove item","Hapus barang"
"Remove product from shopping cart","Hapus produk dari keranjang belanja"
"Remove product(s) from shopping cart","Hapus produk dari keranjang belanja"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Mengambil informasi tentang keranjang belanja"
"Review Order","Tinjauan pesanan"
"Review Order - %s","Tinjauan pesanan - %s"
"SKU","SKU"
"Sales","Penjualan"
"Save Condition","Simpan Kondisi"
"Save in address book","Simpan di buku alamat"
"See price before order confirmation.","Lihat haraga sebelum konfirmasi order."
"Select Address","Pilih Alamat"
"Select Addresses","Pilih Alamat"
"Select Shipping Method","Pilih Cara Pengiriman"
"Select State/Province...","Pilih Provinsi..."
"Select a billing address from your address book or enter a new address.","Pilih alamat penagihan dari buku alamat Anda atau masukkan alamat baru."
"Select a shipping address from your address book or enter a new address.","Pilih alamat pengiriman dari buku alamat Anda atau masukkan alamat baru."
"Send Payment Failed Email Copy Method","Kirim email pembayaran yang gagal salin metode"
"Send Payment Failed Email Copy To","Kirim email pembayaran yang gagal salin ke"
"Send To","kirim ke"
"Separate by "","".","Dipisahkan oleh "",""."
"Set customer for shopping cart","Set pelanggan untuk keranjang belanja"
"Set customer's addresses in shopping cart","Set alamat pelanggan dalam keranjang belanja"
"Set payment method","Atur metode pembayaran"
"Set shipping method","Atur metode pengiriman"
"Ship to Multiple Addresses","Kirim ke beberapa alamat"
"Ship to different address","Kirim ke alamat berbeda"
"Ship to this address","Kirim ke alamat ini"
"Shipping Address","Mengirim alamat"
"Shipping Information","Mengirim informasi"
"Shipping Method","Mengirim metode"
"Shipping Methods","Mengrim metode"
"Shipping To","Mengirim ke"
"Shipping information","Mengirim informasi"
"Shipping method has not been selected yet","Mengirim informasi belum juga dipilih"
"Shipping methods in shopping cart","Menrim metode dalam keranjang belanja"
"Shipping selection is not applicable.","Pengiriman pilihan tidak berlaku."
"Shopping Cart","Keranjang belanja"
"Shopping Cart Form Before","Formulir keranjang belanja sebelum"
"Shopping Cart Items After","Keranjang Items After"
"Shopping Cart Items Before","Keranjang Items Before"
"Shopping Cart Sidebar","Keranjang belanja Bar samping"
"Shopping Cart Sidebar Extra Actions","Keranjang belanja Bar samping tindakan ekstra"
"Shopping Cart is Empty","Keranjang belanja kosong"
"Shopping cart ability to set coupon code","Kemampuan Keranjang belanja untuk mengatur kode kupon"
"Show Content as","Tampilkan isi sebagai"
"Some of the requested products are not available in the desired quantity.","Beberapa produk yang diminta tidak tersedia dalam jumlah yang diinginkan."
"Some of the requested products are unavailable.","Beberapa produk yang diminta tidak tersedia."
"Some products quantities were recalculated because of quantity increment mismatch","Beberapa jumlah produk yang dihitung ulang karena ketidakcocokan jumlah kenaikan"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, guest checkout is not enabled. Please try again or contact the store owner."
"Sorry, no quotes are available for this order at this time.","Maaf, tidak ada harga yang tersedia untuk pesanan ini saat ini."
"State/Province","Negara/Provinsi"
"Status","Status"
"Store View","Tampilan Toko"
"Street Address","Alamat jalan"
"Street Address %s","Street Address %s"
"Submitting order information...","Mengirimkan informasi pesanan..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Telepon"
"Terms and Conditions","Syarat dan kondisi"
"Terms and Conditions Information","Inforamsi syarat dan kondisi"
"Terms and conditions","Syarat dan kondisi"
"Text","Teks"
"Thank you for your purchase!","Terimakasih atas pembelian Anda"
"The condition has been deleted","Kondisi telah dihapus"
"The condition has been saved.","Kondisi telah disimpan."
"The onepage checkout is disabled.","checkout satu halaman tidak aktif."
"The product could not be found.","Produk tidak dapat di temukan."
"The product does not exist.","Produk tidak ada."
"There are <a href=""%s"">%s items</a> in your cart.","Ada <a href=""%s"">%s item</a> Pada keranjang Anda."
"There is <a href=""%s"">1 item</a> in your cart.","Ada <a href=""%s"">1 item</a> Pada Keranjang Anda."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"There was an error processing your order. Please contact us or try again later.","Ada masalah saat memproses pesanan Anda. Silahkan hubungi kami atau coba lagi nanti."
"This condition no longer exists.","Kondisi ini tidak ada."
"Total","Total"
"Total for this address","Total alamat ini"
"Unable to set Payment Method.","Tidak dapat mengatur metode pembayaran."
"Unit Price","Harga unit"
"Update","Perbarui"
"Update Cart","Perbaruan keranjang"
"Update Qty &amp; Addresses","Perbaruan kuantitas &amp; Alamat"
"Update Shopping Cart","Perbaruan keranjang belanja"
"Update Total","Perbaruan total"
"Update product quantities in shopping cart","Pembaruan jumlah produk dikeranjang belanja"
"Update product(s) quantities in shopping cart","Pembaruan jumlah produk dikeranjang belanja"
"Use Billing Address","Gunakan alamat tagihan"
"VAT Number","Nomor VAT"
"View Shopping Cart","Lihat Keranjang"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Kami sedang memproses pesanan Anda dan Anda akan segera menerima email dengan rincian pesanan. Setelah pesanan telah dikirimkan Anda akan menerima email lain dengan tautan untuk melacak perkembangannya."" "
"What&#39;s this?","What&#39;s this?"
"What's this?","Apa ini?"
"You have no items in your shopping cart.","Anda belum memilih produk untuk dibeli."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Anda akan menerima email konfirmasi pesanan dengan rincian pesanan Anda dan tautan untuk melacak perkembangannya."
"Your Checkout Progress","Perkembangan Checkout Anda"
"Your billing agreement # is: %s.","Persetujuan Pembayaran Anda # adalah: %s."
"Your order # is: %s.","Pesanan Anda # adalah: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Pesanan Anda cannot be completed at this time as there is no payment methods available for it."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Pesanan Anda cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received","Pesanan Anda telah diterima"
"Your order has been received.","Pesanan Anda telah diterima."
"Your order number is ","Jumlah pesanan Anda adalah"
"Your recurring payment profiles:","Profil pembayaran berulang Anda:"
"Zip","Zip"
"Zip/Postal Code","Zip/Kode pos"
"ok","ok"
"or","atau"
